SYMBOL,TRADABLE
ASTERDM,True
ASTRAL,True
ASTRAMICRO,True
ASTRAZEN,True
ATALREAL,True
ATAM,True
ATGL,True
ATHERENERG,True
ATL,True
ATLANTAA,True
ATLASCYCLE,True
ATUL,True
ATULAUTO,True
AUBANK,True
AURIGROW,True
AURIONPRO,True
AUROPHARMA,True
AURUM,True
AUSOMENT,True
AUTOAXLES,True
AUTOBEES,True
AUTOIND,True
AVAILFC,True
AVALON,True
AVANTEL,True
AVANTIFEED,True
AVG,True
AVL,True
AVONMORE,True
AVROIND,True
AVTNPL,True
AWFIS,True
AWHCL,True
AWL,True
AXISBANK,True
AXISCADES,True
AXISVALUE,True
AXITA,True
AXSENSEX,True
AYE,True
AYMSYNTEX,True
AZAD,True
BAGFILMS,True
BAIDFIN,True
BAJAJ-AUTO,True
BAJAJCON,True
BAJAJELEC,True
BAJAJFINSV,True
BAJAJHCARE,True
BAJAJHFL,True
BAJAJHIND,True
BAJAJHLDNG,True
BAJAJINDEF,True
BAJAJST,True
BAJEL,True
BAJFINANCE,True
BALAJEE,True
BALAJITELE,True
BALAMINES,True
BALKRISHNA,True
BALKRISIND,True
BALMLAWRIE,True
BALPHARMA,True
BALRAMCHIN,True
BALUFORGE,True
BANARBEADS,True
BANARISUG,True
BANCOINDIA,True
BANDHANBNK,True
BANG,True
BANK10ADD,True
BANKADD,True
BANKBARODA,True
BANKBEES,True
BANKBETA,True
BANKINDIA,True
BANKPSU,True
BANSALWIRE,True
BANSWRAS,True
BASF,True
BASML,True
BATAINDIA,True
BATLIBOI,True
BAYERCROP,True
BBL,True
BBOX,True
BBTC,True
BBTCL,True
BCLIND,True
BCONCEPTS,True
BCPL,True
BDL,True
BEARDSELL,True
BECTORFOOD,True
BEEKAY,True
BEL,True
BELLACASA,True
BELRISE,True
BEML,True
BENGALASM,True
BEPL,True
BERGEPAINT,True
BESTAGRO,True
BETA,True
BFINVEST,True
BFSI,True
BFUTILITIE,True
BHAGCHEM,True
BHAGERIA,True
BHANDARI,True
BHARATCOAL,True
BHARATFORG,True
BHARATGEAR,True
BHARATRAS,True
BHARATSE,True
BHARATWIRE,True
BHARTIARTL,True
BHARTIHEXA,True
BHEL,True
BI,True
BIGBLOC,True
BIKAJI,True
BIL,True
BIMETAL,True
BIOCON,True
BIOFILCHEM,True
BIRLACORPN,True
BIRLAMONEY,True
BIRLANU,True
BIRLAPREC,True
BLACKBUCK,True
BLACKROSE,True
BLAL,True
BLIL,True
BLISSGVS,True
BLKASHYAP,True
BLS,True
BLSE,True
BLUEDART,True
BLUEJET,True
BLUESTARCO,True
BLUESTONE,True
BLUSPRING,True
BMWVENTLTD,True
BNAGROCHEM,True
BNALTD,True
BODALCHEM,True
BOMDYEING,True
BONLON,True
BORANA,True
BOROLTD,True
BORORENEW,True
BOROSCI,True
BOSCH-HCIL,True
BOSCHLTD,True
BPCL,True
BPL,True
BRIGADE,True
BRIGHOTEL,True
BRITANNIA,True
BRNL,True
BSE,True
BSHSL,True
BSL,True
BSOFT,True
BTML,True
BTTL,True
BUILDPRO,True
BUTTERFLY,True
BVCL,True
CALSOFT,True
CAMLINFINE,True
CAMPUS,True
CAMS,True
CANBK,True
CANFINHOME,True
CANHLIFE,True
CANTABIL,True
CAPACITE,True
CAPILLARY,True
CAPITALSFB,True
CAPLIPOINT,True
CARBORUNIV,True
CARERATING,True
CARRARO,True
CARTRADE,True
CARYSIL,True
CASTROLIND,True
CCAVENUE,True
CCCL,True
CCHHL,True
CCL,True
CDSL,True
CEATLTD,True
CEIGALL,True
CEINSYS,True
CELEBRITY,True
CELLO,True
CEMPRO,True
CENTENKA,True
CENTEXT,True
CENTRALBK,True
CENTRUM,True
CENTUM,True
CENTURYPLY,True
CERA,True
CESC,True
CEWATER,True
CGCL,True
CGPOWER,True
CHALET,True
CHAMBLFERT,True
CHEMBOND,True
CHEMBONDCH,True
CHEMCON,True
CHEMFAB,True
CHEMICAL,True
CHEMPLASTS,True
CHENNPETRO,True
CHEVIOT,True
CHOICEIN,True
CHOLAFIN,True
CHOLAHLDNG,True
CIEINDIA,True
CIFL,True
CIGNITITEC,True
CINELINE,True
CINEVISTA,True
CIPLA,True
CLEAN,True
CLEANMAX,True
CLSEL,True
CMPDI,True
CMSINFO,True
CNL,True
COALINDIA,True
COASTCORP,True
COCHINSHIP,True
COCKERILL,True
COFFEEDAY,True
COFORGE,True
COHANCE,True
COLPAL,True
COMFINTE,True
COMPUSOFT,True
COMSYN,True
CONCOR,True
CONCORDBIO,True
CONFIPET,True
CONS,True
CONSUMBEES,True
CONSUMER,True
CONTROLPR,True
CORALFINAC,True
CORDSCABLE,True
COROMANDEL,True
CORONA,True
COSMOFIRST,True
COUNCODOS,True
CPCAP,True
CPEDU,True
CPPLUS,True
CRAFTSMAN,True
CRAMC,True
CREATIVEYE,True
CREDITACC,True
CREST,True
CRISIL,True
CRIZAC,True
CROMPTON,True
CROWN,True
CSBBANK,True
CSLFINANCE,True
CUB,True
CUBEXTUB,True
CUMMINSIND,True
CUPID,True
CYBERMEDIA,True
CYBERTECH,True
CYIENT,True
CYIENTDLM,True
DABUR,True
DAICHI,True
DALBHARAT,True
DALMIASUG,True
DAMCAPITAL,True
DAMODARIND,True
DANGEE,True
DATAMATICS,True
DATAPATTNS,True
DAVANGERE,True
DBCORP,True
DBEIL,True
DBL,True
DBREALTY,True
DBSTOCKBRO,True
DCAL,True
DCBBANK,True
DCM,True
DCMNVL,True
DCMSHRIRAM,True
DCMSRIND,True
DCW,True
DCXINDIA,True
DDEVPLSTIK,True
DECCANCE,True
DEEDEV,True
DEEPAKFERT,True
DEEPAKNTR,True
DEEPINDS,True
DEFENCE,True
DELHIVERY,True
DELPHIFX,True
DELTACORP,True
DELTAMAGNT,True
DEN,True
DENORA,True
DENTA,True
DEVIT,True
DEVX,True
DEVYANI,True
DGCONTENT,True
DHAMPURSUG,True
DHANBANK,True
DHANUKA,True
DHARMAJ,True
DHRUV,True
DHUNINV,True
DIACABS,True
DIAMINESQ,True
DIAMONDYD,True
DICIND,True
DIFFNKG,True
DIGIDRIVE,True
DIGITIDE,True
DIGJAMLMTD,True
DISAQ,True
DIVGIITTS,True
DIVIDEND,True
DIVISLAB,True
DIVOPPBEES,True
DIXON,True
DLF,True
DLINKINDIA,True
DMART,True
DMCC,True
DNAMEDIA,True
DODLA,True
DOLATALGO,True
DOLLAR,True
DOLPHIN,True
DOMS,True
DONEAR,True
DPABHUSHAN,True
DPSCLTD,True
DPWIRES,True
DRAGARWQ,True
DRCSYSTEMS,True
DREAMFOLKS,True
DREDGECORP,True
DRREDDY,True
DSFCL,True
DSSL,True
DTIL,True
DVL,True
DWARKESH,True
DYCL,True
DYNAMATECH,True
DYNPRO,True
EASEMYTRIP,True
EBGNG,True
ECAPINSURE,True
ECLERX,True
ECOSMOBLTY,True
EDELWEISS,True
EFCIL,True
EICHERMOT,True
EIDPARRY,True
EIEL,True
EIFFL,True
EIHAHOTELS,True
EIHOTEL,True
EIMCOELECO,True
EKC,True
ELANTAS,True
ELCIDIN,True
ELDEHSG,True
ELECON,True
ELECTCAST,True
ELECTHERM,True
ELGIEQUIP,True
ELGIRUBCO,True
ELIN,True
ELITECON,True
ELLEN,True
ELM250,True
ELPROINTL,True
EMAMILTD,True
EMAMIPAP,True
EMCURE,True
EMIL,True
EMKAY,True
EMMBI,True
EMMVEE,True
EMSLIMITED,True
EMUDHRA,True
EMULTIMQ,True
ENDURANCE,True
ENERGY,True
ENERGYDEV,True
ENGINERSIN,True
ENIL,True
ENRIN,True
ENTERO,True
EPACK,True
EPACKPEB,True
EPIGRAL,True
EPL,True
EQUAL200,True
EQUAL50,True
EQUAL50ADD,True
EQUITASBNK,True
ERIS,True
ESABINDIA,True
ESAFSFB,True
ESCORTS,True
ESENSEX,True
ESG,True
ESSARSHPNG,True
ESSENTIA,True
ESTER,True
ETERNAL,True
ETHOSLTD,True
EUREKAFORB,True
EUROBOND,True
EUROPRATIK,True
EUROTEXIND,True
EVEREADY,True
EVERESTIND,True
EVINDIA,True
EXCELINDUS,True
EXCELSOFT,True
EXICOM,True
EXIDEIND,True
EXPLEOSOL,True
EXXARO,True
FABTECH,True
FACT,True
FAIRCHEMOR,True
FCL,True
FDC,True
FEDDERSHOL,True
FEDERALBNK,True
FEDFINA,True
FERMENTA,True
FIEMIND,True
FILATEX,True
FINCABLES,True
FINEORG,True
FINKURVE,True
FINOPB,True
FINPIPE,True
FIRSTCRY,True
FISCHER,True
FIVESTAR,True
FLAIR,True
FLEXIADD,True
FLEXITUFF,True
FLUOROCHEM,True
FMGOETZE,True
FMNL,True
FOCUS,True
FOODSIN,True
FORCEMOT,True
FORTIS,True
FOSECOIND,True
FRACTAL,True
FRONTSP,True
FSL,True
FUSION,True
GABRIEL,True
GAEL,True
GAIL,True
GALAPREC,True
GALAXYSURF,True
GALLANTT,True
GANDHAR,True
GANDHITUBE,True
GANECOS,True
GANESHBE,True
GANESHCP,True
GANESHHOU,True
GANGAFORGE,True
GANGESSECU,True
GARFIBRES,True
GARUDA,True
GATECH,True
GATECHDVR,True
GATEWAY,True
GAYAHWS,True
GCSL,True
GEECEE,True
GEEKAYWIRE,True
GENCON,True
GENESYS,True
GENUSPAPER,True
GENUSPOWER,True
GEOJITFSL,True
GESHIP,True
GFLLIMITED,True
GHCL,True
GHCLTEXTIL,True
GICHSGFIN,True
GICL,True
GICRE,True
GILLANDERS,True
GILLETTE,True
GINNIFILA,True
GIPCL,True
GKENERGY,True
GKSL,True
GKWLIMITED,True
GLAND,True
GLAXO,True
GLENMARK,True
GLOBAL,True
GLOBALVECT,True
GLOBE,True
GLOBUSSPR,True
GLOSTERLTD,True
GLOTTIS,True
GMBREW,True
GMDCLTD,True
GMMPFAUDLR,True
GMRAIRPORT,True
GMRP&UI,True
GNA,True
GNFC,True
GNRL,True
GOACARBON,True
GOCLCORP,True
GOCOLORS,True
GODAVARIB,True
GODFRYPHLP,True
GODIGIT,True
GODREJAGRO,True
GODREJCP,True
GODREJIND,True
GODREJPROP,True
GOKEX,True
GOKUL,True
GOKULAGRO,True
GOODLUCK,True
GOODYEAR,True
GOPAL,True
GOYALALUM,True
GPIL,True
GPPL,True
GPTHEALTH,True
GPTINFRA,True
GRANDOAK,True
GRANULES,True
GRAPHITE,True
GRASIM,True
GRAUWEIL,True
GRAVISSHO,True
GRAVITA,True
GREAVESCOT,True
GREENLAM,True
GREENPANEL,True
GREENPLY,True
GREENPOWER,True
GRINDWELL,True
GRINFRA,True
GRMOVER,True
GROBTEA,True
GROWW,True
GROWWCAPM,True
GROWWCHEM,True
GROWWDEFNC,True
GROWWEV,True
GROWWHOSPI,True
GROWWLOVOL,True
GROWWMC150,True
GROWWMETAL,True
GROWWMOM50,True
GROWWN200,True
GROWWNET,True
GROWWNXT50,True
GROWWPOWER,True
GROWWPSE,True
GROWWPSUBK,True
GROWWRAIL,True
GROWWRLTY,True
GROWWSC250,True
GROWWSLVR,True
GRPLTD,True
GRSE,True
GRWRHITECH,True
GSFC,True
GSLSU,True
GSPCROP,True
GSPL,True
GTECJAINX,True
GTLINFRA,True
GTPL,True
GUFICBIO,True
GUJALKALI,True
GUJAPOLLO,True
GUJGASLTD,True
GUJRAFFIA,True
GUJTHEM,True
GULFOILLUB,True
GULFPETRO,True
GULPOLY,True
GVPTECH,True
GVT&D,True
HAL,True
HALDER,True
HALDYNGL,True
HALEOSLABS,True
HAPPSTMNDS,True
HAPPYFORGE,True
HARDWYN,True
HARIOMPIPE,True
HARRMALAYA,True
HARSHA,True
HATHWAY,True
HATSUN,True
HAVELLS,True
HAWKINCOOK,True
HBESD,True
HBLENGINE,True
HCC,True
HCG,True
HCL-INSYS,True
HCLTECH,True
HDBFS,True
HDFCAMC,True
HDFCBANK,True
HDFCBSE500,True
HDFCGROWTH,True
HDFCLIFE,True
HDFCLOWVOL,True
HDFCMID150,True
HDFCMOMENT,True
HDFCNEXT50,True
HDFCNIF100,True
HDFCNIFBAN,True
HDFCNIFIT,True
HDFCPSUBK,True
HDFCPVTBAN,True
HDFCQUAL,True
HDFCSENSEX,True
HDFCSML250,True
HDFCVALUE,True
HEADSUP,True
HEALTHADD,True
HEALTHCARE,True
HEALTHX,True
HEALTHY,True
HECPROJECT,True
HEG,True
HEIDELBERG,True
HEMIPROP,True
HERANBA,True
HERITGFOOD,True
HEROMOTOCO,True
HESTERBIO,True
HEXATRADEX,True
HEXT,True
HFCL,True
HGINFRA,True
HGM,True
HGS,True
HIKAL,True
HILTON,True
HIMATSEIDE,True
HINDALCO,True
HINDCOMPOS,True
HINDCOPPER,True
HINDOILEXP,True
HINDPETRO,True
HINDUNILVR,True
HINDWAREAP,True
HINDZINC,True
HIRECT,True
HISARMETAL,True
HITECH,True
HITECHCORP,True
HLEGLAS,True
HLVLTD,True
HMAAGRO,True
HMVL,True
HNDFDS,True
HNGSNGBEES,True
HOMEFIRST,True
HONASA,True
HONAUT,True
HONDAPOWER,True
HPAL,True
HPIL,True
HPL,True
HSCL,True
HTMEDIA,True
HUBTOWN,True
HUDCO,True
HUHTAMAKI,True
HYBRIDFIN,True
HYUNDAI,True
IBULLSLTD,True
ICEMAKE,True
ICICIAMC,True
ICICIB22,True
ICICIBANK,True
ICICIGI,True
ICICIPRULI,True
ICIL,True
ICRA,True
IDBI,True
IDEA,True
IDEAFORGE,True
IDFCFIRSTB,True
IEX,True
IFBAGRO,True
IFBIND,True
IFCI,True
IFGLEXPOR,True
IGARASHI,True
IGCL,True
IGIL,True
IGL,True
IGPL,True
IIFL,True
IIFLCAPS,True
IITL,True
IKIO,True
IKS,True
IMAGICAA,True
IMFA,True
IMPAL,True
INA,True
INCREDIBLE,True
INDBANK,True
INDGN,True
INDHOTEL,True
INDIACEM,True
INDIAGLYCO,True
INDIAMART,True
INDIANB,True
INDIANCARD,True
INDIANHUME,True
INDIASHLTR,True
INDIGO,True
INDIGOPNTS,True
INDIQUBE,True
INDNIPPON,True
INDOAMIN,True
INDOBORAX,True
INDOCO,True
INDOFARM,True
INDORAMA,True
INDOSTAR,True
INDOTECH,True
INDOTHAI,True
INDOUS,True
INDOWIND,True
INDPRUD,True
INDRAMEDCO,True
INDSWFTLAB,True
INDTERRAIN,True
INDUSINDBK,True
INDUSTOWER,True
INFOBEAN,True
INFOMEDIA,True
INFRA,True
INFRABEES,True
INFY,True
INGERRAND,True
INNOVACAP,True
INNOVANA,True
INNOVISION,True
INOXGREEN,True
INOXINDIA,True
INOXWIND,True
INSECTICID,True
INTELLECT,True
INTENTECH,True
INTERARCH,True
INTERNET,True
INTLCONV,True
INVENTURE,True
INVPRECQ,True
IOB,True
IOC,True
IOLCP,True
IONEXCHANG,True
IPCALAB,True
IPL,True
IRB,True
IRCON,True
IRCTC,True
IREDA,True
IRFC,True
IRIS,True
IRISDOREME,True
IRMENERGY,True
ISFT,True
ISGEC,True
ISHANCH,True
IT,True
ITADD,True
ITBEES,True
ITBETA,True
ITC,True
ITCHOTELS,True
ITDC,True
ITI,True
IVALUE,True
IVC,True
IVP,True
IWP,True
IXIGO,True
J&KBANK,True
JAGRAN,True
JAGSNPHARM,True
JAIBALAJI,True
JAICORPLTD,True
JAINREC,True
JAIPURKURT,True
JAMNAAUTO,True
JARO,True
JASH,True
JAYAGROGN,True
JAYBARMARU,True
JAYKAY,True
JAYNECOIND,True
JAYSREETEA,True
JBCHEPHARM,True
JBMA,True
JGCHEM,True
JINDALPHOT,True
JINDALPOLY,True
JINDALSAW,True
JINDALSTEL,True
JINDRILL,True
JINDWORLD,True
JIOFIN,True
JISLDVREQS,True
JISLJALEQS,True
JKCEMENT,True
JKIL,True
JKLAKSHMI,True
JKPAPER,True
JKTYRE,True
JLHL,True
JMA,True
JMFINANCIL,True
JNKINDIA,True
JOCIL,True
JPOLYINVST,True
JPPOWER,True
JSFB,True
JSL,True
JSLL,True
JSWCEMENT,True
JSWDULUX,True
JSWENERGY,True
JSWHL,True
JSWINFRA,True
JSWSTEEL,True
JTEKTINDIA,True
JTLIND,True
JUBLCPL,True
JUBLFOOD,True
JUBLINGREA,True
JUBLPHARMA,True
JUNIORBEES,True
JUNIPER,True
JUSTDIAL,True
JWL,True
JYOTHYLAB,True
JYOTICNC,True
JYOTISTRUC,True
KABRAEXTRU,True
KAJARIACER,True
KALAMANDIR,True
KALPATARU,True
KALYANIFRG,True
KALYANKJIL,True
KAMAHOLD,True
KAMATHOTEL,True
KAMDHENU,True
KANANIIND,True
KANORICHEM,True
KANPRPLA,True
KANSAINER,True
KAPSTON,True
KARMAENG,True
KARURVYSYA,True
KAUSHALYA,True
KAYA,True
KAYNES,True
KCP,True
KCPSUGIND,True
KDDL,True
KEC,True
KEEPLEARN,True
KEI,True
KELLTONTEC,True
KENNAMET,True
KERNEX,True
KESORAMIND,True
KEYFINSERV,True
KFINTECH,True
KHADIM,True
KHANDSE,True
KICL,True
KILITCH,True
KIMS,True
KINGFA,True
KIOCL,True
KIRANVYPAR,True
KIRIINDUS,True
KIRLFER,True
KIRLOSBROS,True
KIRLOSENG,True
KIRLOSIND,True
KIRLPNU,True
KITEX,True
KKCL,True
KLBRENG-B,True
KMEW,True
KMSUGAR,True
KNAGRI,True
KNRCON,True
KOHINOOR,True
KOKUYOCMLN,True
KOLTEPATIL,True
KOPRAN,True
KOTAKBANK,True
KOTARISUG,True
KOTHARIPET,True
KOTHARIPRO,True
KOTIC,True
KOTYARK,True
KOVAI,True
KPEL,True
KPIGREEN,True
KPIL,True
KPITTECH,True
KPL,True
KPRMILL,True
KRBL,True
KRIDHANINF,True
KRISHANA,True
KRISHIVAL,True
KRISHNADEF,True
KRITI,True
KRITIKA,True
KRN,True
KRONOX,True
KROSS,True
KRSNAA,True
KRYSTAL,True
KSB,True
KSCL,True
KSHINTL,True
KSL,True
KSOLVES,True
KTKBANK,True
KUANTUM,True
KWIL,True
LAGNAM,True
LAHOTIOV,True
LAL,True
LALPATHLAB,True
LAMBODHARA,True
LANDMARK,True
LANDSMILL,True
LAOPALA,True
LATENTVIEW,True
LATTEYS,True
LAURUSLABS,True
LAXMIDENTL,True
LAXMIINDIA,True
LEMERITE,True
LEMONTREE,True
LENSKART,True
LFIC,True
LGBBROSLTD,True
LGEINDIA,True
LGHL,True
LIBAS,True
LIBERTSHOE,True
LICHSGFIN,True
LICI,True
LICNFNHGP,True
LICNMID100,True
LINC,True
LINCOLN,True
LINDEINDIA,True
LLOYDSENGG,True
LLOYDSENT,True
LLOYDSME,True
LMW,True
LODHA,True
LORDSCHLO,True
LOTUSDEV,True
LOTUSEYE,True
LOVABLE,True
LOWVOL,True
LOWVOL1,True
LT,True
LTF,True
LTFOODS,True
LTM,True
LTTS,True
LUMAXIND,True
LUMAXTECH,True
LUPIN,True
LUXIND,True
LXCHEM,True
LYPSAGEMS,True
M&M,True
M&MFIN,True
MAANALU,True
MACPOWER,True
MADHAV,True
MADHAVIPL,True
MADRASFERT,True
MAFANG,True
MAFATIND,True
MAGADSUGAR,True
MAHABANK,True
MAHAPEXLTD,True
MAHEPC,True
MAHESHWARI,True
MAHKTECH,True
MAHLIFE,True
MAHLOG,True
MAHSCOOTER,True
MAHSEAMLES,True
MAITHANALL,True
MAJESAUT,True
MAKEINDIA,True
MALLCOM,True
MALUPAPER,True
MAMATA,True
MANAKALUCO,True
MANAKCOAT,True
MANAKSIA,True
MANALIPETC,True
MANAPPURAM,True
MANBA,True
MANCREDIT,True
MANGLMCEM,True
MANINDS,True
MANINFRA,True
MANKIND,True
MANOMAY,True
MANORAMA,True
MANORG,True
MANUFGBEES,True
MANUGRAPH,True
MANYAVAR,True
MAPMYINDIA,True
MARALOVER,True
MARATHON,True
MARICO,True
MARINE,True
MARKOLINES,True
MARKSANS,True
MARSONS,True
MARUTI,True
MASFIN,True
MASPTOP50,True
MASTEK,True
MASTERTR,True
MATRIMONY,True
MAWANASUG,True
MAXESTATES,True
MAXHEALTH,True
MAXIND,True
MAYURUNIQ,True
MAZDA,True
MAZDOCK,True
MBAPL,True
MBEL,True
MCCHRLS-B,True
MCLOUD,True
MCX,True
MEDANTA,True
MEDIASSIST,True
MEDICAMEQ,True
MEDICO,True
MEDPLUS,True
MEESHO,True
MEGASTAR,True
MENNPIS,True
MENONBE,True
MERCANTILE,True
METAL,True
METROBRAND,True
METROGLOBL,True
METROPOLIS,True
MFML,True
MFSL,True
MGEL,True
MGL,True
MHLXMIRU,True
MHRIL,True
MICEL,True
MID150,True
MID150BEES,True
MID150CASE,True
MIDCAP,True
MIDCAPADD,True
MIDCAPBETA,True
MIDHANI,True
MIDQ50ADD,True
MIDSMALL,True
MIDWESTLTD,True
MINDACORP,True
MINDTECK,True
MIRCELECTR,True
MIRZAINT,True
MITCON,True
MITTAL,True
MKPL,True
MMFL,True
MMP,True
MMTC,True
MMWL,True
MNC,True
MOALPHA50,True
MOBANK10,True
MOBIKWIK,True
MOCAPITAL,True
MODEFENCE,True
MODINATUR,True
MODIRUBBER,True
MODIS,True
MODISONLTD,True
MODTHREAD,True
MOENERGY,True
MOHEALTH,True
MOHITIND,True
MOIL,True
MOINFRA,True
MOIPO,True
MOKSH,True
MOL,True
MOLDTECH,True
MOLDTKPAC,True
MOLOWVOL,True
MOM100,True
MOM50,True
MOMENTUM,True
MOMENTUM30,True
MOMENTUM50,True
MOMGF,True
MOMIDMTM,True
MOMNC,True
MOMOMENTUM,True
MON100,True
MON50EQUAL,True
MONARCH,True
MONEXT50,True
MONEYBOXX,True
MONQ50,True
MONTECARLO,True
MOPSE,True
MOQUALITY,True
MOREALTY,True
MOREPENLAB,True
MOSCHIP,True
MOSERVICE,True
MOSMALL250,True
MOTHERSON,True
MOTILALOFS,True
MOTISONS,True
MOTOGENFIN,True
MOTOUR,True
MOVALUE,True
MPHASIS,True
MPSLTD,True
MRF,True
MRPL,True
MSCIADD,True
MSCIINDIA,True
MSPL,True
MSTCLTD,True
MSUMI,True
MTARTECH,True
MTNL,True
MUFIN,True
MUFTI,True
MUKANDLTD,True
MUKKA,True
MUKTAARTS,True
MULTICAP,True
MUNJALAU,True
MUNJALSHOW,True
MURUDCERA,True
MUTHOOTCAP,True
MUTHOOTFIN,True
MUTHOOTMF,True
MVGJL,True
MWL,True
NACLIND,True
NAGREEKEXP,True
NAHARCAP,True
NAHARINDUS,True
NAHARPOLY,True
NAM-INDIA,True
NARMADA,True
NATCAPSUQ,True
NATCOPHARM,True
NATHBIOGEN,True
NATIONALUM,True
NATIONSTD,True
NAUKRI,True
NAVA,True
NAVINFLUOR,True
NAVKARCORP,True
NAVKARURB,True
NAVNETEDUL,True
NAZARA,True
NBCC,True
NBIFIN,True
NCC,True
NCLIND,True
NDGL,True
NDL,True
NDLVENTURE,True
NDRAUTO,True
NDTV,True
NECCLTD,True
NECLIFE,True
NELCAST,True
NELCO,True
NEOGEN,True
NEPHROPLUS,True
NESCO,True
NESTLEIND,True
NETWEB,True
NETWORK18,True
NEULANDLAB,True
NEWGEN,True
NEXT30ADD,True
NEXT50,True
NEXT50ADD,True
NEXT50BETA,True
NEXTMEDIA,True
NFL,True
NGIL,True
NGLFINE,True
NH,True
NHPC,True
NIACL,True
NIBE,True
NIBL,True
NIF100BEES,True
NIITLTD,True
NIITMTS,True
NILAINFRA,True
NILASPACES,True
NILE,True
NILKAMAL,True
NIMBSPROJ,True
NIPPOBATRY,True
NIRAJ,True
NIRLON,True
NITCO,True
NITINSPIN,True
NITIRAJ,True
NITTAGELA,True
NIVABUPA,True
NKIND,True
NLCINDIA,True
NMDC,True
NOCIL,True
NOIDATOLL,True
NORBTEAEXP,True
NORTHARC,True
NOVAAGRI,True
NOVARTIND,True
NPBET,True
NPST,True
NRAIL,True
NRBBEARING,True
NRL,True
NSIL,True
NSLNISP,True
NTPC,True
NTPCGREEN,True
NUCLEUS,True
NURECA,True
NUVAMA,True
NUVOCO,True
NV20,True
NV20BEES,True
NYKAA,True
OAL,True
OBCL,True
OBEROIRLTY,True
OCCLLTD,True
OFSS,True
OIL,True
OLAELEC,True
OLECTRA,True
OMAXAUTO,True
OMAXE,True
OMFREIGHT,True
OMINFRAL,True
OMNI,True
OMPOWER,True
ONELIFECAP,True
